Category,Month,Year,PdDistrict,X,Y,Location
ASSAULT,3,2016,BAYVIEW,-122.3909717,37.73401522,"(37.7340152180723, -122.390971734551)"
ASSAULT,12,2016,BAYVIEW,-122.3909717,37.73401522,"(37.7340152180723, -122.390971734551)"
ASSAULT,6,2016,BAYVIEW,-122.3909717,37.73401522,"(37.7340152180723, -122.390971734551)"
ASSAULT,11,2016,BAYVIEW,-122.3909717,37.73401522,"(37.7340152180723, -122.390971734551)"
ASSAULT,1,2016,BAYVIEW,-122.3909717,37.73401522,"(37.7340152180723, -122.390971734551)"
ASSAULT,2,2016,BAYVIEW,-122.3909717,37.73401522,"(37.7340152180723, -122.390971734551)"
ASSAULT,2,2016,BAYVIEW,-122.3909717,37.73401522,"(37.7340152180723, -122.390971734551)"
ASSAULT,8,2016,BAYVIEW,-122.3909717,37.73401522,"(37.7340152180723, -122.390971734551)"
ASSAULT,9,2016,BAYVIEW,-122.3909717,37.73401522,"(37.7340152180723, -122.390971734551)"
ASSAULT,10,2016,BAYVIEW,-122.3909717,37.73401522,"(37.7340152180723, -122.390971734551)"
ASSAULT,11,2016,BAYVIEW,-122.3909717,37.73401522,"(37.7340152180723, -122.390971734551)"
ASSAULT,5,2016,BAYVIEW,-122.4065154,37.73401744,"(37.7340174391715, -122.406515437039)"
ASSAULT,2,2016,BAYVIEW,-122.3894715,37.73403197,"(37.7340319720999, -122.389471535682)"
ASSAULT,2,2016,BAYVIEW,-122.3894715,37.73403197,"(37.7340319720999, -122.389471535682)"
ASSAULT,1,2016,BAYVIEW,-122.3894715,37.73403197,"(37.7340319720999, -122.389471535682)"
ASSAULT,6,2016,BAYVIEW,-122.3894715,37.73403197,"(37.7340319720999, -122.389471535682)"
ASSAULT,9,2016,BAYVIEW,-122.3894715,37.73403197,"(37.7340319720999, -122.389471535682)"
ASSAULT,12,2016,INGLESIDE,-122.4155509,37.73403827,"(37.7340382747303, -122.415550902389)"
ASSAULT,12,2016,INGLESIDE,-122.4123984,37.73405613,"(37.7340561320083, -122.412398375843)"
ASSAULT,12,2016,INGLESIDE,-122.4123984,37.73405613,"(37.7340561320083, -122.412398375843)"
ASSAULT,10,2016,BAYVIEW,-122.4028575,37.73407383,"(37.7340738263469, -122.402857513124)"
ASSAULT,7,2016,BAYVIEW,-122.3769841,37.73407511,"(37.7340751122677, -122.376984074382)"
ASSAULT,1,2016,BAYVIEW,-122.3794316,37.73408175,"(37.7340817501185, -122.379431585126)"
ASSAULT,7,2016,BAYVIEW,-122.4008502,37.73408394,"(37.7340839384311, -122.400850244004)"
ASSAULT,7,2016,BAYVIEW,-122.4008502,37.73408394,"(37.7340839384311, -122.400850244004)"
ASSAULT,10,2016,TARAVAL,-122.4890378,37.73411182,"(37.7341118223489, -122.489037836451)"
ASSAULT,10,2016,TARAVAL,-122.4890378,37.73411182,"(37.7341118223489, -122.489037836451)"
ASSAULT,8,2016,INGLESIDE,-122.4225345,37.73416166,"(37.7341616600707, -122.422534504294)"
ASSAULT,11,2016,BAYVIEW,-122.3879113,37.73417143,"(37.7341714275463, -122.387911252085)"
ASSAULT,7,2016,BAYVIEW,-122.390578,37.73424399,"(37.7342439948771, -122.390577977348)"
ASSAULT,2,2016,INGLESIDE,-122.4169367,37.73441232,"(37.7344123229715, -122.416936685644)"
ASSAULT,2,2016,INGLESIDE,-122.4169367,37.73441232,"(37.7344123229715, -122.416936685644)"
